knk_name,Brand,Model,Model Name,Item Weight,Product Dimensions,Batteries:,Item model number,RAM Size,Memory Storage Capacity,Flash Memory Installed Size,Ram Memory Installed Size,Ram Memory Technology,Hard Drive Size,Hard Disk Technology,Operating System,Processor Brand,Processor Speed,Processor Type,Graphics Card Description,Graphics Coprocessor,Included Components,Screen Size,Display Type,Display Resolution Maximum,Batteries Included,Batteries Required,Battery Cell Composition,Connector Type,�,Series,Colour,Item Height,Item Width,Maximum Display Resolution,Memory Technology,Speaker Description,Graphics Chipset Brand,Connectivity Type,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Number of HDMI Ports,Number of Audio-out Ports,Number of Ethernet Ports,Number of Microphone Ports,Number of VGA Ports,Lithium Battery Energy Content,Number of Lithium Ion Cells,Supported Software,Optical Drive Type,Hard Disk Rotational Speed,Lithium battery Weight,Number of Lithium Metal Cells,Resolution,Power Source,Battery Average Life,Battery Average Life Standby,Wireless Type,Data Link Protocol,Hard Drive Interface,Processor Count,Processor Socket,Software Included,Battery Description,Device Type,Form Factor,Maximum Memory Supported,Card Reader,Hardware Platform,Model Year,Graphics Card Ram Size,Audio Output Type,Keyboard Description,Notebook Display Technology,Screen Resolution,Computer Memory Type
"Acer Acer One Intel Pentium Gold 4415U Processor 14-inch Display 1366 x 768 Laptop (4 GB Ram/1TB HDD/Windows 10 Home/Integrated Graphics/Black/1.8kgs), Z2-485",Acer,,,1.8 Kg,24.5 x 34 x 2.4 cm,1 Lithium ion batteries required. (included),Z2-485,4 GB,,,,,1 TB,Mechanical Hard Drive,Window 10 Home 64Bit,Intel,2.3 GHz,Pentium,Integrated,Intel HD Graphics 610,"Laptop, Battery, AC Adapter, User Guide, Manuals",14 Inches,,,,,,,�,Acer One,Black,24 Millimeters,34 Centimeters,1366x768,DDR4,Built-in speakers,Intel,"Wi-Fi, Bluetooth-V4, Infrared",1,2,1,1,1,1,1,31 Watt Hours,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP 14q cs2003TU 14-inch Laptop (Pentium Silver N5030/4GB/256GB SSD/Windows 10 Home/Integrated Graphics), Jet Black",HP,,,1.5 Kg,23.4 x 33.5 x 2 cm,1 Lithium ion batteries required. (included),cs2003TU,4 GB,,,,,256 GB,Flash Memory Solid State,Windows 10 Home,Intel,1.1 GHz,Pentium,Integrated,Intel UHD�605,"Laptop, Battery, AC Adapter, User Guide, Manuals",14 Inches,,,,,,,�,14q,Jet Black,20 Millimeters,33.5 Centimeters,1366 x 768 (HD Ready),DDR4,Dual Speakers,Intel,"Wi-Fi, Bluetooth-V4.2",1,2,1,1,1,1,,41 Watt Hours,3,Comes with Microsoft Office Home & Student 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP 15q ds0049TU 15.6-inch Laptop (8th Gen i3-8130U/8GB/256GB SSD/Windows 10 Home/MS Office 2019/Integrated Graphics), Jet Black",HP,,,1.77 Kg,24.6 x 37.6 x 2.3 cm,1 Lithium ion batteries required. (included),ds0049TU,8 GB,,,,,256 GB,Flash Memory Solid State,Windows 10 Home,Intel,2.2 GHz,Core i3,Integrated,Intel UHD 620,"Laptop, Battery, AC Adapter, User Guide, Manuals",15.6 Inches,,,,,,,�,15q,Jet Black,23 Millimeters,37.6 Centimeters,1920 x 1080 (Full HD),DDR4,Dual Speakers,Intel,"Wi-Fi, Bluetooth-V4.2",1,2,1,1,1,1,,41 Watt Hours,3,Comes with Microsoft Office Home & Student 2019,DVD-RW,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP 15s du2069TU 15.6-inch Laptop (10th Gen i3-1005G1/4GB/1TB/Windows 10 Home/Integrated Graphics), Jet Black",HP,du2069TU,15s,1.75 Kg,24.2 x 35.9 x 2 cm,1 Lithium ion batteries required. (included),du2069TU,4 GB,,,4 GB,DDR4,1 TB,Mechanical Hard Drive,Windows 10 Home,Intel,1.2 GHz,Core i3,Integrated,Intel UHD�,"Laptop, Battery, AC Adapter, User Guide, Manuals",15.6 Inches,LED-Backlit,1920 x 1080 (Full HD),Yes,Yes,Lithium Ion,Wireless,�,,,,,,,,,,,,,,,,,,,Comes with Microsoft Office Home & Student 2019,,5400 RPM,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo ThinkPad E14 Intel Core i5 10th Gen 14-inch Full HD Thin and Light Laptop (8GB RAM/ 512GB SSD/Windows 10 Home/Microsoft Office Home & Student 2019/ Black/ 1.77 kg), 20RAS11K00",Lenovo,,,1.77 Kg,32.5 x 23.2 x 1.8 cm,1 Lithium ion batteries required. (included),20RAS11K00,,,,,,,,,,,,,,"Laptop, Adapter, User Manual",,,,,,,,�,E14,Black,18 Millimeters,23.2 Centimeters,,,,,,,,,,,,,45 Watt Hours,2,,,,0.50 Grams,3,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo ThinkPad E15 Intel Core i5 10th Gen 15-inch Full HD Thin and Light Laptop (8GB RAM/ 1TB HDD + 128GB SSD/Windows 10 Home/Microsoft Office Home & Student 2019/ Black/ 1.9 kg), 20RDS0NP00",Lenovo,,,1.9 Kg,36.8 x 24.5 x 1.9 cm,1 Lithium ion batteries required. (included),20RDS0NP00,,,,,,,,,,,,,,"Laptop, Adapter, User Manual",,,,,,,,�,E15,Black,19 Millimeters,24.5 Centimeters,,,,,,,,,,,,,45 Watt Hours,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
"AVITA PURA NS14A6IND541-SGBKB 14-inch Laptop (AMD A9-9420E/8GB/256GB SSD/FHD Display/Windows 10 Home in S Mode/AMD Radeon R5 Graphics), Space Grey with 3 in 1 Sleeve (Black)",AVITA,NS14A6IND541-SGBKB,PURA,1.21 Kg,33.2 x 22.1 x 1.7 cm,1 Lithium Polymer batteries required. (included),NS14A6IND541-SGBKB,8 GB,256 GB,256,8 GB,DDR4,256 GB,Flash Memory Solid State,Window 10 Home S Mode,AMD,3 GHz,A Series,,AMD Radeon R5 Graphics,"Laptop, Laptop Sleeve, AC Adapter, User Guide, Manuals",14 Inches,TFT LCD,1920 x 1080 (Full HD),Yes,Yes,Lithium Ion,Wireless,�,,,,,,,,,,,,,,,,,,,,,,,,1920 x 1080,Battery Powered,10 Hours,10 Hours,802.11a/b/g/n/ac,IEEE 802.11 a/b/g/n/ac,,,,,,,,,,,,,,,,,
"HP 15 db1069AU 15.6-inch Laptop (3rd Gen Ryzen 3 3200U/4GB/1TB HDD/Windows 10/MS Office/Radeon Vega 3 Graphics), Jet Black",HP,db1069AU,15,2.04 Kg,24.5 x 36.1 x 1.8 cm,1 Lithium ion batteries required. (included),db1069AU,4 GB,1 TB,,4 GB,DDR4,1 TB,Mechanical Hard Drive,Windows 10 Home,AMD,2.6 GHz,Ryzen 3 2200U,,Radeon Vega 3,"Laptop, Battery, AC Adapter, User Guide, Manuals",15.6 Inches,LED-Backlit,1366 x 768 (HD Display),Yes,Yes,Lithium Ion,Wireless,�,,,,,,,,,,,,,,,,,,,Comes with Microsoft Office Home & Student 2019,,5400 RPM,,,1366 x 768,Battery Powered,7 Hours,13 Hours,"802.11bgn, Bluetooth",,Serial ATA,1,LGA 1366,Microsoft Office 365,1 Lithium-ion batteries required (included),notebook,,,,,,,,,,,
(Renewed) Dell Latitude 6540 Laptop Core i7-4/4GB/500GB,Dell,,,3 Kg,111.3 x 91.9 x 25.8 cm,1 Lithium ion batteries required. (included),6540-cr,4 GB,,,,,500 GB,Mechanical Hard Drive,DOS,Intel,,Core i7 4800MQ,,AMD Radeon HD 8790M,,15.60 Inches,,,,,,,�,,Anodized Aluminum,25.8 Centimeters,91.9 Centimeters,Full HD (1920 X 1080) Pixels,,,,,,,,,,,,97 Watt Hours,9,,,,,,,,,,,,ATA,,,,,,,,,,,,,,,,
"ASUS VivoBook Ultra K14 Intel Core i3-10110U 10th Gen 14-inch FHD Thin and Light Laptop (4GB RAM/256GB NVMe SSD/Windows 10/MS Office 2019/Integrated Graphics/Indie Black/1.4 kg), K413FA-EK548TS",ASUS,,,1.4 Kg,21.5 x 32.4 x 1.8 cm,1 Lithium ion batteries required. (included),K413FA-EK548TS,4 GB,,,,,256 GB,Flash Memory Solid State,Windows 10 Home,Intel,,Core i3,Integrated,Integrated Intel UHD Graphics,"Laptop, AC Adapter, User Guide, Manuals",14 Inches,,,,,,,�,VivoBook Ultra,Indie Black,18 Millimeters,32.4 Centimeters,1920 x 1080 (Full HD),DDR4,"Built-in speaker, Built-in microphone, Audio by ICEpower, harman/kardon",Intel,"Wi-Fi 6 (Gig+)(802.11ax) 2*2 (Dual band) , Bluetooth 5.0",2,2,1,1,,,,42 Watt Hours,3,"Comes with Pre-Installed MS Office Home and Student 2019, Link to MyASUS, Tru2Life, Splendid, System Diagnosis, Battery Health Charging",,,,,,,,,,,,,,,,,Laptop,4 GB,MicroSD,PC,,,,,,,
"HP Pavilion x360 Core i7 8th Gen 14-inch Touchscreen 2-in-1 FHD Thin and Light Laptop (16GB/512GB SSD/Windows 10/MS Office/2GB Graphics/Mineral Silver/1.59 kg), 14- dh0045TX",HP,dh0045TX,Pavilion x360,1.59 Kg,32.4 x 22.4 x 2 cm,1 Lithium ion batteries required. (included),dh0045TX,16 GB,,512,16 GB,DDR4,512 GB,Flash Memory Solid State,Windows 10 Home,Intel,1.80 GHz,Core i7,Dedicated,NVIDIA GeForce MX250 GDDR5,"Laptop, Inking Pen, AC Adapter, User Guide, Manuals",14 Inches,LED-Backlit,1920 x 1080 (Full HD),Yes,Yes,Lithium Ion,Wireless,�,,,,,,,,,,,,,,,,,,,Comes with Pre-installed Microsoft Office 2019,,,,,,Battery Powered,,,,,,4,,,,,Convertible 2 in 1,,,,2019,2 GB,Headphones,Backlit keyboard,,,
"HP 14s cf3006tu 14-inch Laptop (Core i3-1005G1/4GB/1TB HDD/Windows 10 Home/Intel UHD Graphics), Natural Silver",HP,,,1.74 Kg,22.6 x 32.4 x 2 cm,1 Lithium ion batteries required. (included),cf3006tu,4 GB,,,,,1 TB,Mechanical Hard Drive,Windows 10 Home,Intel,1.2 GHz,Core i3,,Intel UHD,"Laptop, Battery, AC Adapter, User Guide, Manuals",14 Inches,,,,,,,�,14s,Natural Silver,20 Millimeters,32.4 Centimeters,1920 x 1080 (Full HD),DDR4,Dual Speakers,Intel,"Wi-Fi, Bluetooth-V4.2",,3,1,1,1,1,,41 Watt Hours,3,Comes with Pre-installed Microsoft Office Home & Student 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HP Pavilion Gaming 9th Gen Intel Core i5 Processor 15.6-inch FHD Gaming Laptop (8GB/1TB HDD/M.2 Slot/Windows 10/NVIDIA GTX 1650 4GB/Shadow Black), 15-dk0264TX",HP,,,2.23 Kg,25.6 x 36 x 2.3 cm,1 Lithium ion batteries required. (included),dk0264tx,8 GB,,,,,1 TB,Mechanical Hard Drive,Windows 10 Home,Intel,2.4 GHz,Core i5,,NVIDIA GeForce GTX 1650,"Laptop, Battery, AC Adapter, User Guide, Manuals",15.6 Inches,,,,,,,�,Pavilion Gaming,Shadow Black,23 Millimeters,36 Centimeters,1920 x 1080 (Full HD),DDR4,Bang & Olufsen speakers,NVIDIA,"Wi-Fi, Bluetooth-V5",,4,1,1,1,1,,52.5 Watt Hours,3,McAfee LiveSafe (30 day trial),,,,,,,,,2.4 GHz Radio Frequency,,,,,,,,,,,,,4 GB,,,,,
"HP 14 Laptop (Ryzen 5 3500U/8GB/1TB HDD + 256GB SSD/Win 10/Microsoft Office 2019/Radeon Vega 8 Graphics), DK0093AU",HP,,,1.74 Kg,22.6 x 32.4 x 2 cm,1 Lithium Polymer batteries required. (included),dk0093au,8 GB,,,,,1 TB,Hybrid Drive,Windows 10 Home,AMD,2.10 GHz,Ryzen 5 3500U,,AMD Radeon Vega 8,"Laptop, Battery, AC Adapter, User Guide, Manuals",14 Inches,,,,,,,�,14s,Natural Silver,20 Millimeters,32.4 Centimeters,1920 x 1080 (Full HD),DDR4,Dual Speakers,,"Wi-Fi, Bluetooth-V4.2",,3,1,1,1,1,,45 Watt Hours,3,,None,,,,,,,,,,eSATA,4,,,,,Notebook,,,Windows,,,,,LED,1920 x 1080,DDR4 SDRAM
"Lenovo ThinkPad E14 Intel Core i5 10th Gen 14-inch Full HD Thin and Light Laptop (8GB RAM/ 256GB SSD/Windows 10 Home/Black/ 1.77 kg), 20RAS16200",Lenovo,,,1.77 Kg,32.5 x 23.2 x 2.1 cm,1 Lithium ion batteries required. (included),20RAS16200,,,,,,,,,,,,,,"Laptop, Adapter, User Manual",,,,,,,,�,E14,Black,21 Millimeters,23.2 Centimeters,,,,,,,,,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Legion 5i 10th Gen Intel Core i7 15.6 inch FHD Gaming Laptop (8GB/1TB HDD + 256 GB SSD/Windows/NVIDIA GTX 1650 4GB Graphics/Black/2.3Kg), 82AU00BAIN",Lenovo,,,2.3 Kg,36.3 x 25.9 x 2.3 cm,1 Lithium Polymer batteries required. (included),82AU00BAIN,8 GB,,,,,1 TB,Hybrid Drive,Windows 10,Intel,2.6 GHz,Core i7,,GeForce GTX 1650,"Laptop, Adapter, Manual",15.6 Inches,,,,,,,�,Legion 5i,Black,23 Millimeters,25.9 Centimeters,1920 x 1080 (Full HD),DDR4,"Harman Speakers, with Dolby Atmos",,,,4,1,1,1,1,,60 Watt Hours,4,,,,,,,,,,,,,,,,,,,,,,,4 GB,,,,,
